,baseline,both_features,delta
South Africa,0.0,14.082816563312662,14.082816563312662
Inter Path 2,14.01,0.0,-14.01
United States,9.030000000000001,21.884376875375075,12.854376875375074
Canada,9.46,21.784356871374275,12.324356871374274
Mexico,9.07,20.884176835367075,11.814176835367075
Inter Path 1,18.13,7.381476295259051,-10.748523704740947
Australia,10.52,0.0,-10.52
Uzbekistan,0.0,9.261852370474095,9.261852370474095
Qatar,0.0,9.171834366873375,9.171834366873375
Saudi Arabia,0.0,8.971794358871774,8.971794358871774
Spain,7.66,0.0,-7.66
Portugal,7.539999999999999,0.0,-7.539999999999999
Netherlands,7.5,0.0,-7.5
Brazil,10.2,17.69353870774155,7.49353870774155
England,7.41,0.0,-7.41
