team,opponent,pct
Algeria,Inter Path 2,13.929
Algeria,South Korea,12.032
Algeria,UEFA Playoff C,11.932
Algeria,Australia,11.433
Algeria,Haiti,11.183
Argentina,Panama,14.478
Argentina,Haiti,12.981
Argentina,South Korea,12.531
Argentina,Norway,12.032
Argentina,Australia,11.932
Australia,Paraguay,12.831
Australia,Argentina,11.932
Australia,South Africa,11.732
Australia,Ivory Coast,11.633
Australia,Algeria,11.433
Austria,Inter Path 2,23.814
Austria,Jordan,11.682
Austria,Ivory Coast,10.934
Austria,Brazil,10.734
Austria,Egypt,10.584
Belgium,Inter Path 2,14.928
Belgium,Haiti,11.183
Belgium,Inter Path 1,10.884
Belgium,Colombia,10.634
Belgium,Curacao,10.085
Brazil,Panama,14.528
Brazil,Japan,13.33
Brazil,Curacao,13.28
Brazil,Iran,12.431
Brazil,Haiti,11.832
Canada,UEFA Playoff C,14.029
Canada,UEFA Playoff A,14.029
Canada,UEFA Playoff B,13.53
Canada,UEFA Playoff D,13.33
Canada,Paraguay,12.431
Cape Verde,Panama,20.02
Cape Verde,Norway,14.279
Cape Verde,Scotland,13.979
Cape Verde,Qatar,13.58
Cape Verde,Uruguay,13.13
Colombia,Jordan,15.177
Colombia,Qatar,13.33
Colombia,Saudi Arabia,12.431
Colombia,United States,11.932
Colombia,Uzbekistan,11.882
Croatia,Inter Path 2,24.663
Croatia,South Africa,11.283
Croatia,Jordan,10.984
Croatia,Algeria,10.634
Croatia,Ghana,10.584
Curacao,Brazil,13.28
Curacao,France,12.531
Curacao,Egypt,12.182
Curacao,South Africa,11.732
Curacao,Ivory Coast,11.483
Ecuador,Saudi Arabia,13.18
Ecuador,Qatar,12.831
Ecuador,Jordan,12.631
Ecuador,Uzbekistan,12.581
Ecuador,Cape Verde,11.483
Egypt,Inter Path 2,13.729
Egypt,Japan,12.881
Egypt,Curacao,12.182
Egypt,UEFA Playoff A,11.483
Egypt,Jordan,11.433
England,Inter Path 2,14.928
England,Haiti,11.433
England,Inter Path 1,11.333
England,Uruguay,10.634
England,Curacao,10.584
France,Inter Path 2,13.929
France,Curacao,12.531
France,Ecuador,10.884
France,Inter Path 1,10.734
France,Haiti,10.634
Germany,Inter Path 1,12.232
Germany,Inter Path 2,12.132
Germany,Haiti,12.032
Germany,Curacao,11.083
Germany,Ecuador,10.584
Ghana,Panama,21.817
Ghana,Paraguay,14.528
Ghana,Norway,13.879
Ghana,Scotland,13.48
Ghana,Saudi Arabia,12.481
Haiti,Argentina,12.981
Haiti,Ivory Coast,12.182
Haiti,Germany,12.032
Haiti,Brazil,11.832
Haiti,England,11.433
Inter Path 1,Norway,19.221
Inter Path 1,Scotland,18.422
Inter Path 1,Uzbekistan,16.176
Inter Path 1,Paraguay,15.826
Inter Path 1,Qatar,15.427
Inter Path 2,Croatia,24.663
Inter Path 2,Austria,23.814
Inter Path 2,Switzerland,22.766
Inter Path 2,Netherlands,15.627
Inter Path 2,Tunisia,15.277
Iran,Paraguay,14.578
Iran,Brazil,12.431
Iran,Ivory Coast,11.832
Iran,UEFA Playoff A,11.633
Iran,Tunisia,11.383
Ivory Coast,Inter Path 2,14.129
Ivory Coast,Haiti,12.182
Ivory Coast,Iran,11.832
Ivory Coast,Australia,11.633
Ivory Coast,Curacao,11.483
Japan,Brazil,13.33
Japan,Egypt,12.881
Japan,Paraguay,12.831
Japan,South Africa,12.332
Japan,UEFA Playoff D,11.882
Jordan,Panama,15.926
Jordan,Colombia,15.177
Jordan,Uruguay,14.528
Jordan,Ecuador,12.631
Jordan,Switzerland,12.332
Mexico,UEFA Playoff A,14.329
Mexico,UEFA Playoff B,13.38
Mexico,UEFA Playoff C,13.18
Mexico,UEFA Playoff D,13.03
Mexico,New Zealand,12.282
Morocco,Uzbekistan,16.425
Morocco,Scotland,15.826
Morocco,Qatar,15.477
Morocco,Norway,15.327
Morocco,Inter Path 2,14.728
Netherlands,Inter Path 2,15.627
Netherlands,Inter Path 1,11.033
Netherlands,Ecuador,10.384
Netherlands,Curacao,10.135
Netherlands,Uruguay,10.085
New Zealand,Canada,12.381
New Zealand,Mexico,12.282
New Zealand,United States,11.433
New Zealand,Morocco,11.133
New Zealand,Senegal,10.684
Norway,Inter Path 1,19.221
Norway,Morocco,15.327
Norway,Cape Verde,14.279
Norway,Inter Path 2,13.929
Norway,Ghana,13.879
Panama,Ghana,21.817
Panama,Cape Verde,20.02
Panama,Jordan,15.926
Panama,Brazil,14.528
Panama,Argentina,14.478
Paraguay,Inter Path 1,15.826
Paraguay,Iran,14.578
Paraguay,Ghana,14.528
Paraguay,South Korea,13.13
Paraguay,Australia,12.831
Portugal,Inter Path 2,14.778
Portugal,Inter Path 1,12.881
Portugal,Curacao,10.085
Portugal,Haiti,10.035
Portugal,Uruguay,9.636
Qatar,Senegal,16.375
Qatar,Morocco,15.477
Qatar,Inter Path 1,15.427
Qatar,Cape Verde,13.58
Qatar,Colombia,13.33
Saudi Arabia,Senegal,15.926
Saudi Arabia,Inter Path 1,14.928
Saudi Arabia,Morocco,14.578
Saudi Arabia,Ecuador,13.18
Saudi Arabia,Cape Verde,12.531
Scotland,Inter Path 1,18.422
Scotland,Morocco,15.826
Scotland,Senegal,15.627
Scotland,Inter Path 2,14.828
Scotland,Cape Verde,13.979
Senegal,Uzbekistan,16.425
Senegal,Qatar,16.375
Senegal,Saudi Arabia,15.926
Senegal,Scotland,15.627
Senegal,Inter Path 2,14.029
South Africa,Inter Path 2,14.179
South Africa,Japan,12.332
South Africa,Australia,11.732
South Africa,Curacao,11.732
South Africa,Jordan,11.483
South Korea,Paraguay,13.13
South Korea,Argentina,12.531
South Korea,Algeria,12.032
South Korea,Egypt,11.383
South Korea,UEFA Playoff A,11.283
Spain,Inter Path 2,13.679
Spain,Inter Path 1,12.481
Spain,Panama,11.083
Spain,Curacao,10.884
Spain,Uruguay,10.534
Switzerland,Inter Path 2,22.766
Switzerland,Jordan,12.332
Switzerland,Saudi Arabia,11.483
Switzerland,Argentina,11.233
Switzerland,Inter Path 1,10.834
Tunisia,Inter Path 2,15.277
Tunisia,UEFA Playoff D,12.082
Tunisia,Jordan,11.832
Tunisia,Iran,11.383
Tunisia,Haiti,11.233
UEFA Playoff A,Mexico,14.329
UEFA Playoff A,Canada,14.029
UEFA Playoff A,United States,13.48
UEFA Playoff A,Iran,11.633
UEFA Playoff A,Morocco,11.533
UEFA Playoff B,Canada,13.53
UEFA Playoff B,Mexico,13.38
UEFA Playoff B,United States,13.33
UEFA Playoff B,Senegal,11.483
UEFA Playoff B,Egypt,11.183
UEFA Playoff C,Canada,14.029
UEFA Playoff C,Mexico,13.18
UEFA Playoff C,United States,13.13
UEFA Playoff C,Algeria,11.932
UEFA Playoff C,Argentina,11.183
UEFA Playoff D,United States,14.279
UEFA Playoff D,Canada,13.33
UEFA Playoff D,Mexico,13.03
UEFA Playoff D,Tunisia,12.082
UEFA Playoff D,Japan,11.882
United States,UEFA Playoff D,14.279
United States,UEFA Playoff A,13.48
United States,UEFA Playoff B,13.33
United States,UEFA Playoff C,13.13
United States,Paraguay,12.631
Uruguay,Jordan,14.528
Uruguay,Cape Verde,13.13
Uruguay,Uzbekistan,13.13
Uruguay,Qatar,12.781
Uruguay,Saudi Arabia,12.431
Uzbekistan,Senegal,16.425
Uzbekistan,Morocco,16.425
Uzbekistan,Inter Path 1,16.176
Uzbekistan,Uruguay,13.13
Uzbekistan,Cape Verde,13.03
