team,group,pct
Algeria,K,8.837
Algeria,H,8.787
Algeria,J,8.787
Argentina,I,11.982
Argentina,L,11.882
Argentina,E,11.633
Australia,D,9.336
Australia,G,8.837
Australia,I,8.837
Austria,C,9.935
Austria,F,8.987
Austria,E,8.937
Belgium,C,12.232
Belgium,F,11.732
Belgium,E,11.433
Brazil,G,11.732
Brazil,L,11.682
Brazil,I,11.433
Canada,B,100.0
Canada,A,0.0
Canada,C,0.0
Cape Verde,B,12.232
Cape Verde,D,10.634
Cape Verde,A,10.384
Colombia,D,11.932
Colombia,A,11.283
Colombia,B,11.033
Croatia,J,9.586
Croatia,E,9.536
Croatia,G,9.186
Curacao,J,13.03
Curacao,F,12.182
Curacao,C,11.882
Ecuador,A,10.684
Ecuador,B,10.434
Ecuador,J,8.937
Egypt,G,9.086
Egypt,L,8.987
Egypt,A,8.687
England,J,11.682
England,L,11.633
England,C,11.433
France,K,11.882
France,G,11.882
France,F,11.383
Germany,C,11.882
Germany,K,11.832
Germany,F,11.782
Ghana,D,12.182
Ghana,A,11.982
Ghana,B,11.233
Haiti,I,12.282
Haiti,L,11.682
Haiti,H,11.583
Inter Path 1,F,13.63
Inter Path 1,G,11.682
Inter Path 1,K,11.333
Inter Path 2,G,12.381
Inter Path 2,C,11.882
Inter Path 2,E,11.383
Iran,L,8.987
Iran,F,8.887
Iran,G,8.687
Ivory Coast,B,9.186
Ivory Coast,C,9.136
Ivory Coast,I,8.887
Japan,F,9.286
Japan,E,9.086
Japan,G,8.887
Jordan,D,11.533
Jordan,A,11.433
Jordan,B,9.236
Mexico,A,100.0
Mexico,B,0.0
Mexico,C,0.0
Morocco,K,10.085
Morocco,J,9.486
Morocco,I,8.787
Netherlands,F,12.182
Netherlands,G,11.782
Netherlands,E,11.383
New Zealand,B,12.381
New Zealand,A,12.282
New Zealand,D,11.433
Norway,B,9.685
Norway,D,9.236
Norway,I,8.887
Panama,L,12.931
Panama,C,12.182
Panama,K,11.682
Paraguay,D,12.631
Paraguay,B,12.431
Paraguay,A,10.235
Portugal,F,11.782
Portugal,G,11.732
Portugal,J,11.633
Qatar,A,10.734
Qatar,B,9.735
Qatar,D,9.036
Saudi Arabia,A,11.133
Saudi Arabia,B,9.835
Saudi Arabia,D,9.186
Scotland,E,9.236
Scotland,D,9.086
Scotland,L,8.637
Senegal,L,9.735
Senegal,H,9.286
Senegal,I,9.186
South Africa,H,9.785
South Africa,A,9.136
South Africa,C,9.136
South Korea,L,9.186
South Korea,H,8.837
South Korea,B,8.737
Spain,J,12.232
Spain,E,12.182
Spain,C,11.633
Switzerland,G,9.835
Switzerland,L,8.937
Switzerland,K,8.937
Tunisia,F,9.586
Tunisia,D,9.236
Tunisia,H,8.887
UEFA Playoff A,A,14.329
UEFA Playoff A,B,14.029
UEFA Playoff A,D,13.48
UEFA Playoff B,B,13.53
UEFA Playoff B,A,13.38
UEFA Playoff B,D,13.33
UEFA Playoff C,B,14.029
UEFA Playoff C,A,13.18
UEFA Playoff C,D,13.13
UEFA Playoff D,D,14.279
UEFA Playoff D,B,13.33
UEFA Playoff D,A,13.03
United States,D,100.0
United States,A,0.0
United States,B,0.0
Uruguay,D,10.584
Uruguay,A,9.985
Uruguay,B,9.336
Uzbekistan,B,9.835
Uzbekistan,D,8.937
Uzbekistan,J,8.787
